ID,Work Item Type,Title,State,Description,Acceptance Criteria,Repro Steps,Resolution
"1197","Feature","Notifications","Active","<div><span>The tool offers timely, proactive&nbsp;</span><span style="""">notices, reminders of upcoming events and verifications that the voter has properly</span><div>completed a step in the election process. The notices anticipate the voter needs&nbsp;<span style="""">based on the voter record, time of year, and where the state is in their election cycle.&nbsp;</span><span style="""">These notice will be offered in an omni-channel format, with voters selecting the</span></div><div>format and frequency in which they would like to be notified. Whether that be&nbsp;<span style="""">through a chatbot on a smart speaker, via text message, email or automated phone&nbsp;</span><span style="""">call, the purpose of these proactive notices is to help the voter get the information&nbsp;</span><span style="""">they need, when they need it, in the way they wish to receive it. IVIS will provide you&nbsp;</span><span style="""">accurate information regarding the election process that can be integrated into your&nbsp;</span><span style="""">favorite social media channels. The tool will allow you to push notifications through</span></div><div>your favorite social media channels so you don’t need to download a new app. The&nbsp;<span style="""">text originating from the election official and from social media and these message&nbsp;</span><span style="""">will provide a link to the proper front door. For current voters, the text would pull&nbsp;</span><span style="""">the voter into the election authority website for their registered location. For new&nbsp;</span><span style="""">voters, they will be asked to enter their state and county so the system will know&nbsp;</span><span style="""">their proper election authority. The type of notification a voter gets will be&nbsp;</span><span style="""">dependent on their status as a voter or non-voter. Ask for one piece of information&nbsp;</span><span style="""">at a time and each time, offers back information. Non-registered voter profile –</span><span style="""">pulling in information from current voter profile and creating a non-registered voter&nbsp;</span><span style="""">profile. The non-voter profile based on name, DOB and county where of your&nbsp;</span><span style="""">permanent address. To sign-up to get notifications about the election process,</span></div><div>residents can visit either the State or County Election websites, via text, via email,&nbsp;<span style="""">social media, chatbot skill - robocalls</span></div><div>The type of notices will be curated based on the format chosen – for instance email,&nbsp;<span style="""">texts, etc. can be more personalized, whereas social media notices will provide more&nbsp;</span><span style="""">general information about deadlines pull users into the website they need to visit to</span></div><span>register/etc.</span></div>",,,
"1198","Feature","Search","New","<div>Provides a feature that allows users to search site content and displays results in a consumable manner.</div><div><br></div><div><b>The Problem:</b></div><div>Election information can be difficult to categorize.&nbsp; Many users visit the public site are simply looking for items such as upcoming elections and who is on the ballot, all of which is accessible without logging in.&nbsp; Other areas such as contact, where to register, etc should all be made accessible via an easy to user search tool.</div>",,,
"1199","Feature","Chatbot Help","New","<div>The chatbot will provide automated user assistance with challenges they face using MVP.&nbsp; The chatbot will provide contextual help to the user.</div><div><br></div><div><b>The Problem:</b></div><div>Users call the county or state for assistance. The county/state struggles to efficiently help the user because they are unable to tell where the user is at in the system.&nbsp; Additionally, users are only able to get answers to common questions during office hours.&nbsp; Still need to measure the time chatting for a quick answer vs. calling a county worker, though based on assumption there would be time savings.</div>",,,
"1200","Feature","Voice Led Experience","New","<div>Voice led experience allows the user to make changes to their voting record using a smart speaker such as Amazon's echo or Google assistant.&nbsp;</div><div><br></div><div><br></div><div><b><br></b></div>",,,
"1201","Feature","Language Translation","New","<div>MVP should offer the ability for the end-user to interact with MVP in a State approved language such as Spanish and English.</div><div><br></div><div><b>The Problem:</b></div><div>Many RFPs and states have requested language translations to offer constituents this request is likely a result of the voting rights act. &quot;The number of places required to provide multilingual ballots and other election materials is determined by the Census Bureau every five years. In December 2016, 263 jurisdictions in 29 states were subject to the requirement.&quot;&nbsp;&nbsp;</div>",,,
"1202","Feature","Admin Portal","New","<div>The MVP site should allow an Admin portal that will allow Admin users to change content as well as manage notification settings.</div><div><br></div><div><b>The problem:</b></div><div>The current Indiana portal allows Admin users to change content on certain parts of the site. This was created to solve the problem of content changes taking too long to go through development.&nbsp; States have different language that should appear on the site as well as differing notification preferences.</div>",,,
"1203","Feature","Platform Architecture","New","<div><b>The Problem:</b></div><div><br></div><div>More users have been accessing MVP on their mobile devices over the last couple of years.&nbsp; The current application makes it difficult for users to complete tasks.&nbsp; The UI has become cluttered due to added features without additional feedback or user experience input.</div>",,,
"1205","Feature","Voter Registration","Active","<div>The voter registration business rules will remain intact, however additional features will be added to allow for additional registration paths.&nbsp; The voter registration screens will change to a more mobile friendly view.</div><div><br></div><div><b>The Problem:&nbsp;</b><br>The registration path often presents users with too much information and is not suitable for mobile views.&nbsp; Additionally, paths that offer the ability for those serving in the armed forces and living overseas are missing.&nbsp;&nbsp;<br><br>For instance, many States accept Federal Postcard Application (FPCA) for military and individuals living overseas to vote, however the current version of MVP does not support this feature.&nbsp; We've seen this feature request in RFPs for the Washington and Arizona state.&nbsp;</div>",,,
"1209","Feature","First time Voter Experience","New","<div>Personalized experience that caters to first time voters providing them with the necessary information to feel confident in voting.</div><div><br></div><div><b>The Problem:</b></div><div>Many First Time Voters are unsure of the election process and receive most of their information from unreliable sources.&nbsp; Election officials feel that this leads to mistrust of the election process.&nbsp; The current solution does not provide any educational tools or prompts for first time voters.&nbsp;&nbsp;</div>",,,
"2994","Feature","UT Features","New","<div><ol><li><br></li></ol></div>",,,
"3102","Feature","Items to Prototype","New","<div>Candidate Portal in MVP.<br>Petitions</div>",,,
