ID,Work Item Type,Title,State,Description
"8868","Requirement","GA-RQ-4.11","New","4. Lobbyist Registration and Renewals <br><div>The system must have the ability for the Lobbyist to request a second badge and process the payment for the second badge</div><div><br></div><div>Registration Fee $20 (includes one badge / one client)</div><div>Supplemental Fee = $10 per client = $30 (any additional clients - if they had 3 more clients)</div><div>Extra Badge Fee = $20 / extra badge</div><div>Late Reporting Fees (Fines) = $275&nbsp;</div>"
"8869","Requirement","GA-RQ-4.6","New","4. Lobbyist Registration and Renewals<br><br>The system must provide the ability for the Lobbyist to upload signed and notarized PDF Attestations and Client Authorization Forms."
"8870","Requirement","GA-RQ-4.5","New","4. Lobbyist Registration and Renewals<br><br>The system must provide the ability for the Lobbyist to complete the following online attestations.<br>•	Lobbyist Sexual Harassment Policy Statement Acknowledgement<br>•	Moral Turpitude - Lobbyist Felony Verification Acknowledgment<br>•	Oath of Affirmation"
"8871","Requirement","GA-RQ-4.4","New","4. Lobbyist Registration and Renewals<br><br>The system must provide the Lobbyist the ability to list the groups that he/she will be lobbying on behalf of. The group information must consist of the following information:<br>•	Group Name<br>•	Mailing Address 1 &amp; 2<br>•	City, State, and Zip<br>•	Phone<br>•	The type of lobbying that will be done for the group [State Level, State Agency, Local (County, City}, Vendor, State Transportation Board)<br>•	An indication of the agreed amount to pay Lobbyist for a Calendar year&gt; $10,0000<br>•	The General Business or Purpose of Group lobbied for<br>•	Name(s) of the State Agencies which applicant will lobby<br>•	If the applicant represents a membership group other than a state agency or company, state the number of members"
"8872","Requirement","GA-RQ-4.3","New","4. Lobbyist Registration and Renewals<br><br>The system must have the ability for the Lobbyist to upload a photo for their badge."
"8873","Requirement","GA-RQ-4.2","New","4. Lobbyist Registration and Renewals<br><br>The system must capture the following Lobbyist Information:<br>•	Registration Year and Type of Registration (Original, Amendment w./ Description)<br>•	Name (First, Middle, Last)<br>•	Mailing Address 1 &amp; 2, City, State, and Zip<br>•	Phone<br>•	Email<br>•	Name for Badge"
"8874","Requirement","GA-RQ-4.1","New","4. Lobbyist Registration and Renewals<br><br>The system must have the ability for Lobbyists to register with the Commission online"
"8875","Requirement","GA-RQ-7.7","New","<div style=""box-sizing:border-box;"">7.0 Fees, Payment, and Financial Reporting</div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></div>The system must have the ability for Lobbyist to pay registration and badge fees by credit card and checks online."
"8876","Requirement","GA-RQ-6.11","New","<div><span style=""display:inline !important;"">6.0 Search Information, Access and Reporting - Lobbyist Reports</span></div><div><br></div><div>The system should have the ability to generate a Lobbyist Group Roster by Report Year that can be exported to a Microsoft Excel or Adobe PDF file</div>"
"8877","Requirement","GA-RQ-6.10","New","<div><span style=""display:inline !important;"">6.0 Search Information, Access and Reporting - Lobbyist Reports</span></div><div><br></div><div>The system should have the ability to generate a Lobbyist Roster by Report Year that can be exported to a Microsoft Excel or Adobe PDF file</div>"
"8878","Requirement","GA-RQ-6.9","New","<div><span style=""display:inline !important;"">6.0 Search Information, Access and Reporting - Lobbyist Reports</span></div><div><br></div><div>The Lobbyist Expenditure Search should allow the user to export the search results to Microsoft Excel or Adobe PDF file.</div>"
"8879","Requirement","GA-RQ-6.8","New","<div><span style=""display:inline !important;"">6.0 Search Information, Access and Reporting - Lobbyist Reports</span></div><div><br></div><div>The Lobbyist Expenditure Search should allow the user to search by Report Year, Filer ID, Lobbyist Last Name, On Behalf of, Name of Public Official, Identifiable Group , Date From, Date To, Amount and Descript ion to return a list of expenditures with the Group Name, &nbsp;Public Official, the Date and Description and the ability to click on a. link &nbsp;to &nbsp;access the Lobbyist' s profile for each expenditure in the search results.</div>"
"8880","Requirement","GA-RQ-6.7","New","<div><span style=""display:inline !important;"">6.0 Search Information, Access and Reporting - Lobbyist Reports</span></div><div><br></div><div>The Lobbyist Group search should return a list of Groups that Lobbyist have registered to represent. For each search result, the users should have the ability to view Group name and address, registered Lobbyist, if the Group's total payments exceed $10,000, the registration and termination date for the Group's association with the Lobbyist and the ability to click on a link to access the Lobbyist's profile</div>"
"8881","Requirement","GA-RQ-6.6","New","<div><span style=""display:inline !important;"">6.0 Search Information, Access and Reporting - Lobbyist Reports</span></div><div><span style=""display:inline !important;""><br></span></div><div>The Lobbyist Name search should return a list of Lobbyist that match the search criteria. For each Lobbyist in the search result s, the user should have the ability to view the Lobbyist Profile information, the dates of Lobbyist Registration, the Groups the Lobbyist Represents and all reports filed by the Lobbyist for each year that they have been a registered Lobbyist.</div>"
